step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
0,15.371,UNKNOWN,key,x,,
1,20.997,UNKNOWN,key,x,,
2,26.492,UNKNOWN,key,x,,
3,32.04,UNKNOWN,key,x,,
4,37.535,UNKNOWN,key,x,,
5,42.871,UNKNOWN,key,x,,
6,48.04,UNKNOWN,key,x,,
7,53.134,UNKNOWN,key,x,,
8,58.232,UNKNOWN,key,x,,
9,63.265,UNKNOWN,key,x,,
10,68.27,UNKNOWN,key,down,,
11,73.363,UNKNOWN,key,z,,
12,78.376,UNKNOWN,key,x,,
13,83.388,UNKNOWN,key,x,,
14,88.395,UNKNOWN,key,x,,
15,93.378,UNKNOWN,key,x,,
16,98.565,UNKNOWN,key,x,,
17,104.091,UNKNOWN,key,x,,
18,109.717,UNKNOWN,key,down,,
19,115.174,UNKNOWN,key,z,,
20,120.846,UNKNOWN,key,down,,
